"","NOMBRE DEL PUNTO DE MONITOREO","LATITUD","LONGITUD","ELEVACIÓN (m.s.n.m.)","CORRIENTE","MUNICIPIO","FECHA","año","mes","CODIGO__MUESTRA","ICA","clasificacion_ica","CAUDAL_(l/s)","NITROGENO TOTAL_(mg/l)","MANGANESO POTENCIALMENTE BIODISPONIBLE_(mg mn/kg)","NIQUEL POTENCIALMENTE BIODISPONIBLE_(mg ni/kg)","PLOMO POTENCIALMENTE BIODISPONIBLE_(mg pb/kg)","ALUMINIO POTENCIALMENTE BIODISPONIBLE_(mg al/kg)","COBRE POTENCIALMENTE BIODISPONIBLE_(mg cu/kg)","CROMO POTENCIALMENTE BIODISPONIBLE_(mg cr/kg)","HIERRO POTENCIALMENTE BIODISPONIBLE_(mg fe/kg)","CADMIO POTENCIALMENTE BIODISPONIBLE_(mg cd/kg)","ZINC POTENCIALMENTE BIODISPONIBLE_(mg zn/kg)","NITROGENO KJELDAHL TOTAL_(mg n/l)","ALUMINIO TOTAL EN AGUA_(mg al/l)","HIERRO TOTAL EN AGUA_(mg fe/l)","MANGANESO TOTAL EN AGUA_(mg mn/l)","FOSFORO TOTAL_(mg p/l)","DEMANDA BIOQUIMICA DE OXIGENO (DBO5)_(mg o2/l)","SULFATO_(mg so4-2/l)","CADMIO TOTAL EN AGUA_(mg cd/l)","PLOMO TOTAL EN AGUA_(mg pb/l)","CROMO TOTAL EN AGUA_(mg cr/l)","COBRE TOTAL EN AGUA_(mg cu/l)","NIQUEL TOTAL EN AGUA_(mg ni/l)","ZINC TOTAL EN AGUA_(mg zn/l)","NITROGENO AMONIACAL_(mg n-nh3-/l)","NITRATO_(mg n-no3-/l)","NITRITO_(mg n-no2-/l)","TURBIDEZ_(ntu)","FOSFORO REACTIVO DISUELTO_(mg p-po4-3/l)","DEMANDA QUIMICA DE OXIGENO (DQO)_(mg o2/l)","OXIGENO DISUELTO (OD)_(mg o2/l)","SOLIDOS SUSPENDIDOS TOTALES_(mg/l)","Nombre Subzona Hidrográfica","CONDUCTIVIDAD ELECTRICA_(µs/cm)","pH_(unidades de ph)","TEMPERATURA_(°c)","presion_atm","od_sat_teorico","porcentaje_sat_od","i_od","i_sst","i_dqo","i_ce","i_ph"
"1","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2019-12-13,2019,"12",27774,0.349824988217994,"Mala",13680,24.7,193,27.5,2.5,662,6.53,6.57,9370,4.34,113,29,42.2,45.7,0.04,2.62,266,5.5,0.025,0.25,1.32,0.1,0.1,0.0405,0.15,1.7,1.4,6890,3.1,153,0.8,172,"Río Bogotá",611,7.33,18.4,550.548706740896,6.65973271446466,12.0124941089968,0.120124941089968,0.504,0.125,0,1
"2","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2020-10-06,2020,"10",28001,0.413794874028382,"Mala",34744,30.99,262,25,2.5,1325,3.2,6.57,2049,4.28,107,37,26.5,42,0.26,2.5,258,1.5,0.005,0.25,3.18,0.1,0.1,0.07,0.15,2.67,1.6,6890,3.6,174,1.3,90,"Río Bogotá",650,7.34,18,550.548706740896,6.7019163359001,19.397437014191,0.19397437014191,0.75,0.125,0,1
"3","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2020-12-02,2020,"12",28148,0.431381479022941,"Mala",223,14.8,243,28.3,2.5,1598,0.495,37.2,4574,3.35,115,24,23.9,26.6,0.025,1.3,261,3.9,0.005,0.25,0.35,0.1,0.1,0.24,0.15,1.9,1.6,1520,1.2,94,1.2,56,"Río Bogotá",370,7.07,18.3,550.548706740896,6.67009824268144,17.9907395114707,0.179907395114707,0.852,0.125,0,1
"4","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2021-03-16,2021,"3",28215,0.437187276399318,"Mala",32350,7.8,281,20.9,2.5,1325,6.53,28,38000,1.12,173,7.7,42.2,46.1,0.025,0.99,146,1,0.015,0.25,1.32,0.591,0.25,1.02,1.7,1.9,0.2,1520,0.46,125,1,35,"Río Bogotá",320,7.14,16.7,550.548706740896,6.85230088836495,14.593638199659,0.14593638199659,0.915,0.125,0,1
"5","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2021-06-15,2021,"6",28328,0.410447628744121,"Mala",4835,14.6,118,13.2,2.5,616,0.495,6.57,17964,5.74,23.5,25,26.5,0.808,0.025,1.4,266,1.4,0.02,0.25,1.02,0.1,0.1,0.19,0.15,5.9,1.4,5300,0.43,113,0.78,69,"Río Bogotá",496,7.39,16.9,550.548706740896,6.8278420376618,11.4238143720605,0.114238143720605,0.813,0.125,0,1
"6","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2021-10-13,2021,"10",28538,0.475876613098664,"Mala",10784,23.56,373,28.3,2.5,2629,3.2,13.9,10685,5.82,155,23,90.8,66.3,0.1,1.3,266,1.5,0.02,0.25,0.35,0.591,0.25,3.35,0.15,1.7,0.35,5300,1.1,64,1.3,31,"Río Bogotá",454,7.22,17.5,550.548706740896,6.75735151982556,19.2383065493322,0.192383065493322,0.927,0.26,0,1
"7","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2021-11-25,2021,"11",28612,0.452605304794058,"Mala",10784,20.8,165,27.5,2.5,662,4.51,13.9,9896,3.6,155,25,42.2,76.2,0.125,1.3,266,5.5,0.005,0.25,1.02,0.591,0.25,0.688,0.15,1.7,0.044,6890,1.6,74,1,21,"Río Bogotá",391,6.79,17.6,550.548706740896,6.74602398018436,14.8235464762263,0.148235464762263,0.957,0.26,0,0.897791059208026
"8","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2022-02-21,2022,"2",28710,0.444457462063179,"Mala",13680,33.8,144.26,25,2.5,712,0.495,6.57,17210,3.35,57.6,36,42.2,60.9,0.0502,3,261,3.9,0.005,0.25,0.78,0.1,0.1,0.288,0.15,1.7,0.35,3220,1.9,97,1,26,"Río Bogotá",760,7.45,20.9,550.548706740896,6.43967622316174,15.5287310315894,0.155287310315894,0.942,0.125,0,1
"9","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2022-06-29,2022,"6",28929,0.407450096935905,"Mala",18708,11.4,169,27.5,2.5,1218,6.49,37.2,7080,1.8,72.1,23,29.9,60.9,0.186,1.86,261,3.9,0.015,0.25,3.18,0.1,0.09,0.1,0.15,4.2,1.4,5300,2.5,66,1,128,"Río Bogotá",322,7.12,15,550.548706740896,7.07962172497208,14.1250484679525,0.141250484679525,0.636,0.26,0,1
"10","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2022-09-30,2022,"9",29062,0.454039717617042,"Mala",7663,10.5,165,28.3,2.5,2075,3.2,37.2,7993,2.82,98.2,25,26.5,22.9,0.113,1.5,258,3.9,0.005,0.25,3.18,0.1,0.09,0.03,0.15,2.67,0.2,1570,0.94,69,1,52,"Río Bogotá",388,7.22,16.8,550.548706740896,6.84001133729935,14.6198588085211,0.146198588085211,0.864,0.26,0,1
"11","BOGOTA_CUN_BOGOTA_CORTIJO EL 37",4.729092,-74.126761,2576,"BOGOTA","BOGOTÁ D.C.",2022-11-26,2022,"11",29217,0.518165204042945,"Regular",223,5.37,107,25,2.5,804,4.51,6.57,19440,4.34,119,15,26.5,45.7,0.03,1,266,1.5,0.025,0.25,0.78,0.1,0.1,0.162,0.15,2.67,0.2,1520,0.4,57,3.1,48,"Río Bogotá",277,7.03,17,550.548706740896,6.81579298945229,45.4826020214724,0.454826020214724,0.876,0.26,0,1
